frame,timestamp_ms,vrm_bone,rot_x,rot_y,rot_z,rot_w
8,667,leftUpperArm,0.08303,-0.27347,-0.71567,0.63729
8,667,leftLowerArm,0.36153,-0.33027,0.04127,0.87093
8,667,leftHand,-0.15583,0.27588,-0.15717,-0.93536
8,667,rightUpperArm,-0.22794,-0.04052,0.66216,0.7127
8,667,rightLowerArm,0.33423,0.36079,0.29242,0.82013
8,667,rightHand,0.42947,0.20651,-0.34682,0.80785
8,667,leftUpperLeg,-0.59526,-0.15527,-0.08315,0.784
8,667,leftLowerLeg,0.54374,0.0141,-0.04633,0.83785
8,667,leftFoot,0.39101,0.02468,0.02608,0.91968
8,667,rightUpperLeg,-0.59474,-0.11886,0.21007,0.76683
8,667,rightLowerLeg,0.45548,-0.0043,-0.30321,0.83701
8,667,rightFoot,0.43581,0.04592,-0.00831,0.89883
9,750,hips,0.1114,0.19394,0.00353,0.97466
9,750,spine,-0.0,0.03081,-0.0,0.99953
9,750,chest,0.0,-0.0,-0.0,1.0
9,750,neck,0.0,-0.0,-0.0,1.0
9,750,head,-0.00963,0.11187,-0.01667,0.99354
9,750,leftUpperArm,0.08907,-0.28146,-0.71105,0.63816
9,750,leftLowerArm,0.3609,-0.32832,0.05088,0.87142
9,750,leftHand,-0.12151,0.28448,-0.12592,-0.94258
9,750,rightUpperArm,-0.23423,-0.04556,0.65565,0.71637
9,750,rightLowerArm,0.32524,0.36211,0.31027,0.8166
9,750,rightHand,0.43187,0.19758,-0.35049,0.80723
9,750,leftUpperLeg,-0.61109,-0.15909,-0.06623,0.77257
9,750,leftLowerLeg,0.55234,0.01648,-0.06816,0.83066
9,750,leftFoot,0.40739,0.02708,0.03035,0.91235
9,750,rightUpperLeg,-0.60559,-0.12326,0.21762,0.75546
9,750,rightLowerLeg,0.46382,-0.00457,-0.3106,0.82968
9,750,rightFoot,0.44374,0.05494,-0.00855,0.89443
10,833,hips,0.11416,0.19895,-0.00392,0.97333
10,833,spine,0.0,0.03227,-0.0,0.99948
10,833,chest,0.0,0.0,0.0,1.0
10,833,neck,0.0,0.0,0.0,1.0
10,833,head,0.00284,0.1098,-0.01953,0.99376
10,833,leftUpperArm,0.09283,-0.2887,-0.70653,0.63942
10,833,leftLowerArm,0.36348,-0.32845,0.0526,0.87019
10,833,leftHand,-0.10701,0.283,-0.11526,-0.94614
10,833,rightUpperArm,-0.24016,-0.0511,0.6523,0.71709
10,833,rightLowerArm,0.32098,0.36587,0.3295,0.80904
10,833,rightHand,0.40714,0.21824,-0.27396,0.84354
10,833,leftUpperLeg,-0.617,-0.16552,-0.0524,0.76757
10,833,leftLowerLeg,0.55302,0.01641,-0.07924,0.82923
10,833,leftFoot,0.41774,0.03382,0.03029,0.90743
10,833,rightUpperLeg,-0.61434,-0.12883,0.22264,0.74594
10,833,rightLowerLeg,0.47139,-0.0055,-0.31327,0.82439
10,833,rightFoot,0.44643,0.06626,-0.00887,0.89232
11,917,hips,0.11198,0.20399,-0.01625,0.97241
11,917,spine,-0.0,0.0402,-0.0,0.99919
11,917,chest,0.0,0.0,-0.0,1.0
11,917,neck,0.0,0.0,-0.0,1.0
11,917,head,0.00545,0.10822,-0.01233,0.99404
11,917,leftUpperArm,0.10455,-0.296,-0.69837,0.64322
11,917,leftLowerArm,0.3702,-0.33166,0.0683,0.86504
11,917,leftHand,-0.10048,0.23479,-0.05904,-0.96503
11,917,rightUpperArm,-0.24807,-0.05963,0.65891,0.70763
11,917,rightLowerArm,0.32382,0.37036,0.34426,0.79966
11,917,rightHand,0.37351,0.21974,-0.16728,0.88556
11,917,leftUpperLeg,-0.62083,-0.17421,-0.03156,0.76369
11,917,leftLowerLeg,0.55692,0.01686,-0.0947,0.82497
11,917,leftFoot,0.42076,0.0314,0.03181,0.90607
11,917,rightUpperLeg,-0.61329,-0.13831,0.23706,0.74064
11,917,rightLowerLeg,0.47122,-0.00301,-0.32554,0.81973
11,917,rightFoot,0.44799,0.07089,-0.00311,0.89122
12,1000,hips,0.09807,0.20987,-0.03219,0.97227
12,1000,spine,0.0,0.04163,-0.0,0.99913
12,1000,chest,0.0,-0.0,0.0,1.0
12,1000,neck,0.0,-0.0,0.0,1.0
12,1000,head,0.01419,0.0964,0.009,0.9952
12,1000,leftUpperArm,0.11964,-0.32633,-0.68007,0.64553
12,1000,leftLowerArm,0.39602,-0.34891,0.10921,0.84232
12,1000,leftHand,-0.02905,0.17738,-0.00753,-0.98368
12,1000,rightUpperArm,-0.24613,-0.05697,0.68052,0.68779
12,1000,rightLowerArm,0.3165,0.3599,0.37314,0.7944
12,1000,rightHand,0.3847,0.189,-0.13929,0.89268
12,1000,leftUpperLeg,-0.62121,-0.18529,-0.00369,0.76141
12,1000,leftLowerLeg,0.56637,0.02298,-0.12486,0.81431
12,1000,leftFoot,0.42847,0.03562,0.04268,0.90184
12,1000,rightUpperLeg,-0.60639,-0.15375,0.25357,0.7378
12,1000,rightLowerLeg,0.47613,-0.00119,-0.33803,0.81181
12,1000,rightFoot,0.45871,0.07596,0.00265,0.88533
13,1083,hips,0.07977,0.21234,-0.04589,0.97285
13,1083,spine,-0.0,0.05385,0.0,0.99855
13,1083,chest,0.0,0.0,0.0,1.0
13,1083,neck,0.0,0.0,0.0,1.0
13,1083,head,0.0392,0.09069,0.03445,0.99451
13,1083,leftUpperArm,0.14424,-0.34174,-0.66978,0.64327
13,1083,leftLowerArm,0.39699,-0.3406,0.13438,0.84162
13,1083,leftHand,-0.03715,0.19958,-0.01428,-0.97907
13,1083,rightUpperArm,-0.24911,-0.06308,0.71103,0.65452
13,1083,rightLowerArm,0.332,0.35584,0.37344,0.78975
13,1083,rightHand,0.33907,0.12475,-0.19696,0.91142
13,1083,leftUpperLeg,-0.61651,-0.1946,0.01199,0.76282
13,1083,leftLowerLeg,0.57078,0.03004,-0.14225,0.80813
13,1083,leftFoot,0.43307,0.04912,0.05291,0.89846
13,1083,rightUpperLeg,-0.60002,-0.16808,0.25946,0.73784
13,1083,rightLowerLeg,0.48973,-0.00011,-0.34089,0.80247
13,1083,rightFoot,0.46035,0.08585,0.00781,0.88354
14,1167,hips,0.07422,0.21238,-0.05543,0.97279
14,1167,spine,0.0,0.06509,-0.0,0.99788
14,1167,chest,0.0,-0.0,-0.0,1.0
14,1167,neck,0.0,-0.0,-0.0,1.0
14,1167,head,0.03586,0.08849,0.054,0.99397
14,1167,leftUpperArm,0.16332,-0.36651,-0.67522,0.61893
14,1167,leftLowerArm,0.4056,-0.31516,0.18762,0.83723
14,1167,leftHand,0.00775,0.20699,0.0122,-0.97824
14,1167,rightUpperArm,-0.26225,-0.05329,0.75122,0.60337
14,1167,rightLowerArm,0.34664,0.32926,0.33765,0.81081
14,1167,rightHand,0.32625,0.10603,-0.22078,0.91301
14,1167,leftUpperLeg,-0.61598,-0.20061,0.01034,0.76172
14,1167,leftLowerLeg,0.57524,0.03454,-0.13932,0.8053
14,1167,leftFoot,0.43248,0.04664,0.05913,0.89849
14,1167,rightUpperLeg,-0.60125,-0.17565,0.25485,0.73668
14,1167,rightLowerLeg,0.50167,-0.00075,-0.33097,0.79924
14,1167,rightFoot,0.4582,0.07714,0.00864,0.88545
15,1250,hips,0.07009,0.20802,-0.06382,0.97352
15,1250,spine,-0.0,0.07834,-0.0,0.99693
15,1250,chest,0.0,0.0,0.0,1.0
15,1250,neck,0.0,0.0,0.0,1.0
15,1250,head,0.02948,0.10175,0.06549,0.99221
15,1250,leftUpperArm,0.17838,-0.39928,-0.67511,0.59412
15,1250,leftLowerArm,0.40698,-0.28341,0.23348,0.83638
15,1250,leftHand,0.03621,0.21106,0.01965,-0.9766
15,1250,rightUpperArm,-0.27348,-0.03753,0.77918,0.56274
15,1250,rightLowerArm,0.34396,0.30156,0.31844,0.83027
15,1250,rightHand,0.26507,0.16223,-0.18569,0.93217
15,1250,leftUpperLeg,-0.62891,-0.20229,-0.00918,0.75065
15,1250,leftLowerLeg,0.60645,0.02979,-0.10546,0.78753
15,1250,leftFoot,0.40696,0.04014,0.04961,0.91122
15,1250,rightUpperLeg,-0.61625,-0.17805,0.24534,0.72687
15,1250,rightLowerLeg,0.53441,-0.0076,-0.31136,0.78575
15,1250,rightFoot,0.43985,0.0666,0.00164,0.8956
16,1333,hips,0.06371,0.20653,-0.07749,0.97328
16,1333,spine,-0.0,0.11323,0.0,0.99357
16,1333,chest,0.0,0.0,0.0,1.0
16,1333,neck,0.0,0.0,0.0,1.0
16,1333,head,0.00529,0.07851,0.09488,0.99237
16,1333,leftUpperArm,0.20838,-0.449,-0.65464,0.57134
16,1333,leftLowerArm,0.37258,-0.24405,0.22095,0.86764
16,1333,leftHand,0.02617,0.22667,-0.00907,-0.97358
16,1333,rightUpperArm,-0.30694,0.00919,0.79763,0.51913
16,1333,rightLowerArm,0.18526,0.18082,0.3121,0.9141
16,1333,rightHand,0.38287,0.23744,-0.15857,0.87857
16,1333,leftUpperLeg,-0.63037,-0.20941,-0.00921,0.74746
16,1333,leftLowerLeg,0.61855,0.03035,-0.09501,0.77939
16,1333,leftFoot,0.395,0.04162,0.04938,0.91641
16,1333,rightUpperLeg,-0.62294,-0.18844,0.22733,0.7244
16,1333,rightLowerLeg,0.54863,-0.01458,-0.27075,0.79088
16,1333,rightFoot,0.42611,0.05623,-0.01376,0.90282
17,1417,hips,0.07493,0.21387,-0.09293,0.96954
17,1417,spine,0.0,0.16122,0.0,0.98692
17,1417,chest,0.0,-0.0,0.0,1.0
17,1417,neck,0.0,-0.0,0.0,1.0
17,1417,head,-0.03277,0.01249,0.11409,0.99285
17,1417,leftUpperArm,0.24051,-0.48778,-0.63181,0.55231
17,1417,leftLowerArm,0.35088,-0.22745,0.20933,0.88393
17,1417,leftHand,0.01126,0.25226,-0.03384,-0.967
17,1417,rightUpperArm,-0.36659,0.03614,0.7965,0.47947
17,1417,rightLowerArm,0.04677,0.08686,0.28549,0.95329
17,1417,rightHand,0.52561,0.21317,-0.16488,0.80691
17,1417,leftUpperLeg,-0.63847,-0.22372,-0.00099,0.73641
17,1417,leftLowerLeg,0.6244,0.03059,-0.09615,0.77456
17,1417,leftFoot,0.39334,0.04492,0.04984,0.91694
17,1417,rightUpperLeg,-0.64199,-0.20202,0.20805,0.70976
17,1417,rightLowerLeg,0.56738,-0.02238,-0.23635,0.78849
17,1417,rightFoot,0.41569,0.06162,-0.02615,0.90704
18,1500,hips,0.09311,0.23325,-0.10525,0.96221
18,1500,spine,0.0,0.19913,-0.0,0.97997
18,1500,chest,0.0,-0.0,0.0,1.0
18,1500,neck,0.0,-0.0,0.0,1.0
18,1500,head,-0.06508,-0.07718,0.1214,0.98746
18,1500,leftUpperArm,0.26853,-0.52874,-0.60756,0.52838
18,1500,leftLowerArm,0.33399,-0.21508,0.20037,0.89557
18,1500,leftHand,0.00762,0.279,-0.05253,-0.95882
18,1500,rightUpperArm,-0.42814,0.04464,0.78592,0.4439
18,1500,rightLowerArm,-0.00267,0.04935,0.24838,0.9674
18,1500,rightHand,0.57336,0.24215,-0.16604,0.76489
18,1500,leftUpperLeg,-0.63055,-0.24563,0.01829,0.73603
18,1500,leftLowerLeg,0.61191,0.03437,-0.12105,0.78086
18,1500,leftFoot,0.3883,0.04185,0.06089,0.91857
18,1500,rightUpperLeg,-0.65131,-0.2212,0.19899,0.69805
18,1500,rightLowerLeg,0.56706,-0.0221,-0.22949,0.79075
18,1500,rightFoot,0.41583,0.06635,-0.02449,0.90669
19,1583,hips,0.1035,0.24317,-0.11906,0.95707
19,1583,spine,0.0,0.22221,-0.0,0.975
19,1583,chest,0.0,0.0,-0.0,1.0
19,1583,neck,0.0,0.0,-0.0,1.0
19,1583,head,-0.07624,-0.13334,0.12739,0.97989
19,1583,leftUpperArm,0.28731,-0.54486,-0.59501,0.51627
19,1583,leftLowerArm,0.32281,-0.21263,0.16311,0.90773
19,1583,leftHand,-0.02636,0.27794,-0.09616,-0.95541
19,1583,rightUpperArm,-0.46431,0.06337,0.77365,0.42645
19,1583,rightLowerArm,-0.02969,0.03231,0.2179,0.97498
19,1583,rightHand,0.58234,0.26584,-0.14441,0.75456
19,1583,leftUpperLeg,-0.62816,-0.26035,0.03579,0.73236
19,1583,leftLowerLeg,0.61099,0.03509,-0.13468,0.77931
19,1583,leftFoot,0.37568,0.03905,0.06626,0.92355
19,1583,rightUpperLeg,-0.65791,-0.23524,0.19726,0.68768
19,1583,rightLowerLeg,0.57306,-0.02552,-0.21987,0.78906
19,1583,rightFoot,0.41652,0.08062,-0.02864,0.90509
20,1667,hips,0.10587,0.25101,-0.13433,0.95275
20,1667,spine,0.0,0.23926,-0.0,0.97096
20,1667,chest,0.0,-0.0,0.0,1.0
20,1667,neck,0.0,-0.0,0.0,1.0
20,1667,head,-0.07707,-0.17564,0.13433,0.9722
20,1667,leftUpperArm,0.30757,-0.55647,-0.58434,0.50427
20,1667,leftLowerArm,0.31763,-0.20448,0.15241,0.91327
20,1667,leftHand,-0.05137,0.27461,-0.12046,-0.9526
20,1667,rightUpperArm,-0.48947,0.06271,0.76562,0.41268
20,1667,rightLowerArm,-0.04696,0.02077,0.20341,0.97775
20,1667,rightHand,0.57858,0.29033,-0.15275,0.74674
20,1667,leftUpperLeg,-0.61779,-0.27479,0.05321,0.73485
20,1667,leftLowerLeg,0.59862,0.03647,-0.14478,0.787
20,1667,leftFoot,0.37083,0.04301,0.07098,0.92499
20,1667,rightUpperLeg,-0.65925,-0.24942,0.20321,0.67962
20,1667,rightLowerLeg,0.57367,-0.02551,-0.21885,0.78889
20,1667,rightFoot,0.4187,0.08969,-0.02886,0.90322
21,1750,hips,0.11161,0.26124,-0.1437,0.94797
21,1750,spine,-0.0,0.24851,-0.0,0.96863
21,1750,chest,0.0,-0.0,0.0,1.0
21,1750,neck,0.0,-0.0,0.0,1.0
21,1750,head,-0.07699,-0.20254,0.13589,0.96674
21,1750,leftUpperArm,0.32117,-0.53271,-0.59065,0.51401
21,1750,leftLowerArm,0.32668,-0.21346,0.14298,0.90955
21,1750,leftHand,-0.08015,0.28376,-0.15037,-0.94363
21,1750,rightUpperArm,-0.5099,0.06123,0.75837,0.4014
21,1750,rightLowerArm,-0.05111,0.01694,0.1969,0.97894
21,1750,rightHand,0.57387,0.29524,-0.16664,0.74548
21,1750,leftUpperLeg,-0.60948,-0.28793,0.062,0.73606
21,1750,leftLowerLeg,0.59598,0.03541,-0.14944,0.78818
21,1750,leftFoot,0.36064,0.04982,0.07237,0.92856
21,1750,rightUpperLeg,-0.66082,-0.26056,0.21013,0.67177
21,1750,rightLowerLeg,0.57791,-0.0244,-0.2295,0.78279
21,1750,rightFoot,0.41601,0.09798,-0.02367,0.90375
22,1833,hips,0.12411,0.27086,-0.15297,0.94225
22,1833,spine,0.0,0.25195,-0.0,0.96774
22,1833,chest,0.0,-0.0,0.0,1.0
22,1833,neck,0.0,-0.0,0.0,1.0
22,1833,head,-0.08519,-0.21092,0.13244,0.96474
22,1833,leftUpperArm,0.32394,-0.52306,-0.59064,0.52212
22,1833,leftLowerArm,0.32967,-0.21514,0.15002,0.90693
22,1833,leftHand,-0.10026,0.30258,-0.15907,-0.93439
22,1833,rightUpperArm,-0.52756,0.06683,0.75108,0.39126
22,1833,rightLowerArm,-0.07541,0.00363,0.19777,0.97734
22,1833,rightHand,0.5937,0.30718,-0.17823,0.72207
22,1833,leftUpperLeg,-0.60599,-0.29961,0.07267,0.7333
22,1833,leftLowerLeg,0.57957,0.03497,-0.15464,0.79935
22,1833,leftFoot,0.36106,0.06992,0.07203,0.92712
22,1833,rightUpperLeg,-0.66596,-0.26875,0.22074,0.65995
22,1833,rightLowerLeg,0.57395,-0.02109,-0.24429,0.78132
22,1833,rightFoot,0.41232,0.10396,-0.01658,0.90494
23,1917,hips,0.1306,0.27727,-0.15984,0.93836
23,1917,spine,-0.0,0.2522,-0.0,0.96768
23,1917,chest,0.0,0.0,0.0,1.0
23,1917,neck,0.0,0.0,0.0,1.0
23,1917,head,-0.08815,-0.21004,0.13222,0.96469
23,1917,leftUpperArm,0.32664,-0.51346,-0.59257,0.52776
23,1917,leftLowerArm,0.33243,-0.2157,0.15384,0.90515
23,1917,leftHand,-0.10308,0.32177,-0.16219,-0.92711
23,1917,rightUpperArm,-0.53685,0.06603,0.74843,0.38378
23,1917,rightLowerArm,-0.08358,-0.00078,0.20302,0.9756
23,1917,rightHand,0.60273,0.31701,-0.18456,0.70863
23,1917,leftUpperLeg,-0.59993,-0.30751,0.08297,0.73392
23,1917,leftLowerLeg,0.57461,0.0358,-0.16386,0.80105
23,1917,leftFoot,0.35614,0.09107,0.07509,0.92695
23,1917,rightUpperLeg,-0.66724,-0.27474,0.22941,0.65321
23,1917,rightLowerLeg,0.57317,-0.01934,-0.2558,0.77825
23,1917,rightFoot,0.40615,0.10816,-0.01115,0.90731
24,2000,hips,0.13412,0.28067,-0.16588,0.9358
24,2000,spine,-0.0,0.25368,0.0,0.96729
24,2000,chest,0.0,-0.0,-0.0,1.0
24,2000,neck,0.0,-0.0,-0.0,1.0
24,2000,head,-0.08802,-0.21313,0.12682,0.96475
24,2000,leftUpperArm,0.32959,-0.51327,-0.5909,0.52798
24,2000,leftLowerArm,0.33897,-0.21773,0.15791,0.90153
24,2000,leftHand,-0.10165,0.31949,-0.16198,-0.92809
24,2000,rightUpperArm,-0.54361,0.06712,0.747,0.37679
24,2000,rightLowerArm,-0.08664,-0.00318,0.20093,0.97576
24,2000,rightHand,0.58897,0.33461,-0.17774,0.71384
24,2000,leftUpperLeg,-0.59999,-0.31274,0.08946,0.73089
24,2000,leftLowerLeg,0.57607,0.03447,-0.16547,0.79974
24,2000,leftFoot,0.34988,0.1065,0.07238,0.9279
24,2000,rightUpperLeg,-0.66686,-0.27861,0.23836,0.64873
24,2000,rightLowerLeg,0.56988,-0.01834,-0.26383,0.778
24,2000,rightFoot,0.40299,0.10916,-0.00826,0.90863
25,2083,hips,0.13555,0.28256,-0.17061,0.93417
25,2083,spine,-0.0,0.25357,0.0,0.96732
25,2083,chest,0.0,0.0,0.0,1.0
25,2083,neck,0.0,0.0,0.0,1.0
25,2083,head,-0.09226,-0.20776,0.12763,0.96542
25,2083,leftUpperArm,0.33047,-0.4935,-0.59689,0.53942
25,2083,leftLowerArm,0.33626,-0.21776,0.14812,0.90419
25,2083,leftHand,-0.12749,0.33276,-0.16293,-0.92004
25,2083,rightUpperArm,-0.54668,0.06827,0.74636,0.37339
25,2083,rightLowerArm,-0.08869,-0.00402,0.20201,0.97535
25,2083,rightHand,0.59623,0.34387,-0.17699,0.70352
25,2083,leftUpperLeg,-0.60233,-0.31606,0.09506,0.72683
25,2083,leftLowerLeg,0.57593,0.0352,-0.17012,0.79883
25,2083,leftFoot,0.34776,0.11095,0.07373,0.92807
25,2083,rightUpperLeg,-0.66649,-0.28179,0.24329,0.64591
25,2083,rightLowerLeg,0.56851,-0.01797,-0.26684,0.77799
25,2083,rightFoot,0.40158,0.10896,-0.00712,0.90929
26,2167,hips,0.13755,0.28504,-0.17307,0.93267
