frame,timestamp_ms,track_id,label,detector_label,role,center_x,center_y,velocity_x,velocity_y,speed,motion_state,detected
10,833,obj_002,dining table,dining table,environment,0.8347,0.766,0.0083,-0.0047,0.0096,stationary,True
11,917,obj_002,dining table,dining table,environment,0.8354,0.7668,0.0083,0.0094,0.0125,stationary,True
12,1000,obj_002,dining table,dining table,environment,0.8451,0.7758,0.1167,0.1078,0.1589,moving,True
13,1083,obj_002,dining table,dining table,environment,0.8493,0.7891,0.05,0.1594,0.167,moving,True
14,1167,obj_002,dining table,dining table,environment,0.8486,0.7898,-0.0083,0.0094,0.0125,stationary,True
85,7083,obj_002,dining table,dining table,environment,0.8438,0.7844,-0.0008,-0.0009,0.0012,stationary,True
86,7167,obj_002,dining table,dining table,environment,0.8493,0.7879,0.0667,0.0422,0.0789,moving,True
87,7250,obj_002,dining table,dining table,environment,0.8403,0.7824,-0.1083,-0.0656,0.1267,moving,True
88,7333,obj_002,dining table,dining table,environment,0.8389,0.7781,-0.0167,-0.0516,0.0542,stationary,True
89,7417,obj_002,dining table,dining table,environment,0.8389,0.7746,0.0,-0.0422,0.0422,stationary,True
90,7500,obj_002,dining table,dining table,environment,0.8347,0.7695,-0.05,-0.0609,0.0788,moving,True
91,7583,obj_002,dining table,dining table,environment,0.8368,0.7676,0.025,-0.0234,0.0343,stationary,True
92,7667,obj_002,dining table,dining table,environment,0.8375,0.7676,0.0083,0.0,0.0083,stationary,True
93,7750,obj_002,dining table,dining table,environment,0.834,0.7672,-0.0417,-0.0047,0.0419,stationary,True
94,7833,obj_002,dining table,dining table,environment,0.8347,0.766,0.0083,-0.0141,0.0163,stationary,True
95,7917,obj_002,dining table,dining table,environment,0.8382,0.768,0.0417,0.0234,0.0478,stationary,True
1,83,obj_003,chair,chair,environment,0.6556,0.7543,0.0,0.0,0.0,stationary,True
2,167,obj_003,chair,chair,environment,0.6556,0.7543,0.0,0.0,0.0,stationary,True
3,250,obj_003,chair,chair,environment,0.6569,0.7539,0.0167,-0.0047,0.0173,stationary,True
4,333,obj_003,chair,chair,environment,0.6556,0.7543,-0.0167,0.0047,0.0173,stationary,False
5,417,obj_003,chair,chair,environment,0.6542,0.7547,-0.0167,0.0047,0.0173,stationary,True
6,500,obj_003,chair,chair,environment,0.6576,0.7551,0.0417,0.0047,0.0419,stationary,True
7,583,obj_003,chair,chair,environment,0.6583,0.7547,0.0083,-0.0047,0.0096,stationary,True
8,667,obj_003,chair,chair,environment,0.6611,0.7559,0.0333,0.0141,0.0362,stationary,True
9,750,obj_003,chair,chair,environment,0.6604,0.7566,-0.0083,0.0094,0.0125,stationary,True
10,833,obj_003,chair,chair,environment,0.6611,0.7568,0.0083,0.0023,0.0087,stationary,False
11,917,obj_003,chair,chair,environment,0.6618,0.757,0.0083,0.0023,0.0087,stationary,True
37,3083,obj_003,chair,chair,environment,0.8361,0.7816,0.0804,0.0114,0.0812,moving,True
38,3167,obj_003,chair,chair,environment,0.8347,0.7793,-0.0167,-0.0281,0.0327,stationary,True
39,3250,obj_003,chair,chair,environment,0.8319,0.7766,-0.0333,-0.0328,0.0468,stationary,True
40,3333,obj_003,chair,chair,environment,0.8319,0.7746,0.0,-0.0234,0.0234,stationary,True
41,3417,obj_003,chair,chair,environment,0.8354,0.7805,0.0417,0.0703,0.0817,moving,True
42,3500,obj_003,chair,chair,environment,0.8347,0.7766,-0.0083,-0.0469,0.0476,stationary,True
43,3583,obj_003,chair,chair,environment,0.8361,0.7773,0.0167,0.0094,0.0191,stationary,True
44,3667,obj_003,chair,chair,environment,0.8361,0.775,0.0,-0.0281,0.0281,stationary,True
45,3750,obj_003,chair,chair,environment,0.8354,0.7715,-0.0083,-0.0422,0.043,stationary,True
46,3833,obj_003,chair,chair,environment,0.8361,0.7707,0.0083,-0.0094,0.0125,stationary,True
47,3917,obj_003,chair,chair,environment,0.8375,0.7727,0.0167,0.0234,0.0288,stationary,True
48,4000,obj_003,chair,chair,environment,0.8368,0.7703,-0.0083,-0.0281,0.0293,stationary,True
49,4083,obj_003,chair,chair,environment,0.8368,0.7707,0.0,0.0047,0.0047,stationary,True
50,4167,obj_003,chair,chair,environment,0.8375,0.7707,0.0083,0.0,0.0083,stationary,True
51,4250,obj_003,chair,chair,environment,0.8389,0.7754,0.0167,0.0563,0.0587,stationary,True
52,4333,obj_003,chair,chair,environment,0.8382,0.7758,-0.0083,0.0047,0.0096,stationary,True
53,4417,obj_003,chair,chair,environment,0.8389,0.7773,0.0083,0.0188,0.0205,stationary,True
54,4500,obj_003,chair,chair,environment,0.8382,0.777,-0.0083,-0.0047,0.0096,stationary,True
55,4583,obj_003,chair,chair,environment,0.8368,0.7801,-0.0167,0.0375,0.041,stationary,True
56,4667,obj_003,chair,chair,environment,0.8389,0.7766,0.025,-0.0422,0.049,stationary,True
57,4750,obj_003,chair,chair,environment,0.841,0.7809,0.025,0.0516,0.0573,stationary,True
58,4833,obj_003,chair,chair,environment,0.8403,0.7812,-0.0083,0.0047,0.0096,stationary,True
59,4917,obj_003,chair,chair,environment,0.8382,0.7762,-0.025,-0.0609,0.0659,moving,True
60,5000,obj_003,chair,chair,environment,0.8396,0.7746,0.0167,-0.0187,0.0251,stationary,True
61,5083,obj_003,chair,chair,environment,0.8389,0.7785,-0.0083,0.0469,0.0476,stationary,True
62,5167,obj_003,chair,chair,environment,0.8403,0.7797,0.0167,0.0141,0.0218,stationary,True
63,5250,obj_003,chair,chair,environment,0.8382,0.7785,-0.025,-0.0141,0.0287,stationary,True
64,5333,obj_003,chair,chair,environment,0.8403,0.7762,0.025,-0.0281,0.0376,stationary,True
65,5417,obj_003,chair,chair,environment,0.8361,0.7707,-0.05,-0.0656,0.0825,moving,True
66,5500,obj_003,chair,chair,environment,0.8354,0.7742,-0.0083,0.0422,0.043,stationary,True
67,5583,obj_003,chair,chair,environment,0.8319,0.7723,-0.0417,-0.0234,0.0478,stationary,True
68,5667,obj_003,chair,chair,environment,0.8354,0.7789,0.0417,0.0797,0.0899,moving,True
69,5750,obj_003,chair,chair,environment,0.8347,0.7664,-0.0083,-0.15,0.1502,moving,True
90,7500,obj_003,chair,chair,environment,0.6653,0.7582,-0.0968,-0.0047,0.0969,moving,True
91,7583,obj_003,chair,chair,environment,0.6597,0.7578,-0.0667,-0.0047,0.0668,moving,True
92,7667,obj_003,chair,chair,environment,0.6583,0.757,-0.0167,-0.0094,0.0191,stationary,True
93,7750,obj_003,chair,chair,environment,0.6604,0.7543,0.025,-0.0328,0.0413,stationary,True
94,7833,obj_003,chair,chair,environment,0.6625,0.7547,0.025,0.0047,0.0254,stationary,True
68,5667,obj_004,chair,chair,environment,0.6361,0.7633,,,,stationary,True
84,7000,obj_005,cup,cup,target,0.8972,0.6426,,,,stationary,True
