frame,timestamp_ms,label,score,bbox_x,bbox_y,bbox_width,bbox_height
12,1000,dining table,0.415,0.6931,0.6133,0.3042,0.325
13,1083,person,0.87,0.3361,0.2672,0.3806,0.6687
13,1083,chair,0.616,0.2181,0.5344,0.2708,0.3805
13,1083,dining table,0.396,0.7042,0.6398,0.2903,0.2984
14,1167,person,0.837,0.3542,0.2664,0.425,0.6828
14,1167,chair,0.625,0.2153,0.5367,0.2764,0.3805
14,1167,dining table,0.411,0.7,0.643,0.2972,0.2938
15,1250,person,0.727,0.3389,0.2562,0.5014,0.693
15,1250,chair,0.637,0.2139,0.5375,0.2764,0.382
16,1333,person,0.716,0.3861,0.2586,0.5153,0.6805
16,1333,chair,0.641,0.2153,0.5391,0.275,0.3797
17,1417,person,0.793,0.3639,0.2758,0.5556,0.6562
17,1417,chair,0.62,0.2222,0.5391,0.3375,0.382
18,1500,person,0.811,0.3458,0.2773,0.5889,0.6531
18,1500,chair,0.638,0.2139,0.5375,0.2972,0.3797
19,1583,person,0.805,0.3542,0.2836,0.6028,0.6422
19,1583,chair,0.645,0.2181,0.5398,0.3194,0.3789
20,1667,person,0.796,0.3347,0.2859,0.6403,0.6406
20,1667,chair,0.643,0.2194,0.5398,0.3153,0.3789
21,1750,person,0.788,0.3472,0.2883,0.6333,0.6328
21,1750,chair,0.648,0.2181,0.5398,0.3097,0.3781
22,1833,person,0.766,0.3361,0.2867,0.6444,0.6352
22,1833,chair,0.647,0.2125,0.5359,0.2958,0.3805
23,1917,person,0.749,0.3292,0.2891,0.6528,0.6352
23,1917,chair,0.641,0.2153,0.5352,0.2944,0.3812
24,2000,person,0.739,0.3347,0.2898,0.65,0.6359
24,2000,chair,0.648,0.2139,0.5352,0.2931,0.3812
25,2083,person,0.744,0.3333,0.2883,0.6514,0.6375
25,2083,chair,0.654,0.2139,0.5344,0.2958,0.3812
26,2167,person,0.737,0.3333,0.2883,0.65,0.6367
26,2167,chair,0.657,0.2139,0.5344,0.2944,0.382
27,2250,person,0.736,0.3361,0.2891,0.6486,0.6352
27,2250,chair,0.66,0.2167,0.5375,0.2986,0.3805
28,2333,person,0.735,0.3278,0.2898,0.6569,0.6367
28,2333,chair,0.657,0.2167,0.5375,0.3014,0.3797
29,2417,person,0.725,0.3278,0.2891,0.6542,0.6406
29,2417,chair,0.654,0.2139,0.5336,0.2958,0.382
30,2500,person,0.76,0.3625,0.2906,0.6097,0.6406
30,2500,chair,0.642,0.2194,0.5391,0.3125,0.3797
31,2583,person,0.782,0.3736,0.2859,0.5764,0.6461
31,2583,chair,0.642,0.2181,0.5398,0.3153,0.3797
32,2667,person,0.769,0.3806,0.2758,0.5542,0.6578
32,2667,chair,0.625,0.2222,0.5398,0.3306,0.3805
33,2750,person,0.754,0.3889,0.2703,0.5375,0.6586
33,2750,chair,0.618,0.225,0.5375,0.3597,0.3883
34,2833,person,0.726,0.3778,0.2672,0.5292,0.6594
34,2833,chair,0.585,0.2236,0.5391,0.3403,0.3828
35,2917,person,0.679,0.3264,0.2625,0.5431,0.6859
35,2917,chair,0.618,0.2139,0.5398,0.2958,0.3766
36,3000,person,0.723,0.3264,0.2687,0.5014,0.6789
36,3000,chair,0.592,0.225,0.5352,0.3431,0.3867
37,3083,person,0.773,0.325,0.2641,0.4639,0.6906
37,3083,chair,0.595,0.2167,0.5344,0.2889,0.3812
37,3083,chair,0.379,0.6833,0.6219,0.3056,0.3195
