frame,timestamp_ms,hand,landmark_id,landmark_name,x,y,z,world_x,world_y,world_z,handedness_score
0,0,right,12,MIDDLE_FINGER_TIP,0.53254724,0.648837,-0.023869442,0.056954544,0.044623274,0.03014601,0.9938070178031921
0,0,right,13,RING_FINGER_MCP,0.4675602,0.62770265,-0.019309651,-0.007385949,0.008207951,-0.0013689101,0.9938070178031921
0,0,right,14,RING_FINGER_PIP,0.49643216,0.64090765,-0.024237353,0.012396387,0.023476265,-0.0032644123,0.9938070178031921
0,0,right,15,RING_FINGER_DIP,0.50871617,0.64700365,-0.020185662,0.028544197,0.037489627,0.010394618,0.9938070178031921
0,0,right,16,RING_FINGER_TIP,0.51617587,0.6512573,-0.016019173,0.0371249,0.04677517,0.034379803,0.9938070178031921
0,0,right,17,PINKY_MCP,0.45940527,0.63347757,-0.019768704,-0.018241793,0.0121555235,0.00807482,0.9938070178031921
0,0,right,18,PINKY_PIP,0.4833474,0.6426223,-0.02146709,-0.0022596726,0.022027463,0.008030817,0.9938070178031921
0,0,right,19,PINKY_DIP,0.4941352,0.6478161,-0.01689617,0.012230172,0.038758535,0.016163476,0.9938070178031921
0,0,right,20,PINKY_TIP,0.5011072,0.65223545,-0.012476458,0.019781481,0.04817837,0.034223318,0.9938070178031921
1,83,left,0,WRIST,0.57228,0.61133724,6.0700295e-08,0.041236296,-0.025453158,0.08081049,0.9895513653755188
1,83,left,1,THUMB_CMC,0.5522953,0.61408633,-0.00066810293,0.010587466,-0.020182773,0.06581353,0.9895513653755188
1,83,left,2,THUMB_MCP,0.53279454,0.61960554,-0.0037672357,-0.01724402,-0.0077908547,0.045398496,0.9895513653755188
1,83,left,3,THUMB_IP,0.5206106,0.62665427,-0.0067234305,-0.030111963,0.011326479,0.01687187,0.9895513653755188
1,83,left,4,THUMB_TIP,0.51504564,0.6327195,-0.010615474,-0.04295203,0.028110124,-0.0026979297,0.9895513653755188
